wpId	authorName
97686	Sugar Times
97802	Sugar Times
97810	Sugar Times
97813	Sugar Times
97820	Sugar Times
97821	Sugar Times
97827	Sugar Times
97833	Sugar Times
97838	Sugar Times
97840	Sugar Times
97845	Sugar Times
97846	Sugar Times
97851	Sugar Times
97856	Sugar Times
97857	Sugar Times
97863	Sugar Times
97866	Sugar Times
97872	Sugar Times
97876	Sugar Times
97877	Sugar Times
97882	Sugar Times
97884	Sugar Times
97887	Sugar Times
97893	Sugar Times
97900	Sugar Times
97901	Sugar Times
97912	Sugar Times
97916	Sugar Times
97917	Sugar Times
97918	Sugar Times
97919	Sugar Times
97921	Sugar Times
97922	Sugar Times
97930	Sugar Times
97940	Sugar Times
97945	Sugar Times
97962	Sugar Times
97963	Sugar Times
97967	Sugar Times
97974	Sugar Times
97976	Sugar Times
97980	Sugar Times
97985	Sugar Times
97988	Sugar Times
97996	Sugar Times
98010	Sugar Times
98013	Sugar Times
98015	Sugar Times
98018	Sugar Times
98019	Sugar Times
98030	Sugar Times
98031	Sugar Times
98038	Sugar Times
98040	Sugar Times
98041	Sugar Times
98042	Sugar Times
98045	Sugar Times
98046	Sugar Times
98048	Sugar Times
98053	Sugar Times
98055	Sugar Times
98058	Sugar Times
98064	Sugar Times
98081	Sugar Times
98084	Sugar Times
98085	Sugar Times
98086	Sugar Times
98088	Sugar Times
98091	Sugar Times
98094	Sugar Times
98097	Sugar Times
98113	Sugar Times
98116	Sugar Times
98117	Sugar Times
98121	Sugar Times
98129	Sugar Times
98134	Sugar Times
98142	Sugar Times
98143	Sugar Times
98147	Sugar Times
98148	Sugar Times
98155	Sugar Times
98156	Sugar Times
98160	Sugar Times
98166	Sugar Times
98171	Sugar Times
98180	Sugar Times
98183	Sugar Times
98197	Sugar Times
98198	Sugar Times
98208	Sugar Times
98209	Sugar Times
98218	Sugar Times
98227	Sugar Times
98235	Sugar Times
98236	Sugar Times
98242	Sugar Times
98245	Sugar Times
98246	Sugar Times
98255	Sugar Times
98257	Sugar Times
98260	Sugar Times
98268	Sugar Times
98273	Sugar Times
98274	Sugar Times
98276	Sugar Times
98284	Sugar Times
98288	Sugar Times
98289	Sugar Times
98295	Sugar Times
98296	Sugar Times
98301	Sugar Times
98306	Sugar Times
98307	Sugar Times
98315	Sugar Times
98324	Sugar Times
98326	Sugar Times
98328	Sugar Times
98329	Sugar Times
98331	Sugar Times
98334	Sugar Times
98343	Sugar Times
98348	Sugar Times
98351	Sugar Times
98353	Sugar Times
98366	Sugar Times
98367	Sugar Times
98368	Sugar Times
98369	Sugar Times
98572	Sugar Times
98575	Sugar Times
98577	Sugar Times
98582	Sugar Times
98591	Sugar Times
98596	Sugar Times
98597	Sugar Times
98603	Sugar Times
98604	Sugar Times
98607	Sugar Times
98611	Sugar Times
98612	Sugar Times
98615	Sugar Times
98635	Sugar Times
98642	Sugar Times
98647	Sugar Times
98648	Sugar Times
98649	Sugar Times
98655	Sugar Times
98657	Sugar Times
98664	Sugar Times
98665	Sugar Times
98670	Sugar Times
98675	Sugar Times
98681	Sugar Times
98684	Sugar Times
98686	Sugar Times
98697	Sugar Times
98698	Sugar Times
98700	Sugar Times
98703	Sugar Times
98708	Sugar Times
98720	Sugar Times
98722	Sugar Times
98725	Sugar Times
98737	Sugar Times
98738	Sugar Times
98752	Sugar Times
98759	Sugar Times
98762	Sugar Times
98763	Sugar Times
98773	Sugar Times
98774	Sugar Times
98775	Sugar Times
98776	Sugar Times
98781	Sugar Times
98782	Sugar Times
98788	Sugar Times
98790	Sugar Times
98791	Sugar Times
98815	Sugar Times
98820	Sugar Times
98823	Sugar Times
98824	Sugar Times
98828	Sugar Times
98830	Sugar Times
98831	Sugar Times
98838	Sugar Times
98844	Sugar Times
98847	Sugar Times
98848	Sugar Times
98865	Sugar Times
98868	Sugar Times
